model,R2,MAE,RMSE
best_model,0.9004115839036356,2509.6888409228777,4277.847047985141
gradient_boosting,0.9004115839036356,2509.6888409228777,4277.847047985141
xgboost,0.8855045640918145,2772.6988282107623,4586.854112914222
random_forest,0.8831883086541387,2564.7118681138504,4633.018091449593
decision_tree,0.8417789593567806,2426.340919478235,5392.038174668723
linear_regression,0.804599894461841,4198.725197586501,5992.15773381405
ridge,0.804445232277244,4199.352622774462,5994.528707179996
knn,0.706297717837249,4348.326174966419,7346.398802822749
svm,0.00457791347180736,8529.6413930403,13524.601461041259
